station_complex,ridership,percentage
"5 Av/53 St (E,M)","4,720,084",0.405594554
50 St (1),"5,864,444",0.50392886
"50 St (C,E)","4,856,664",0.417330808
50 St (D),"744,787",0.06399919
52 St (7),"1,404,249",0.120666443
53 St (R),"2,004,086",0.172210149
55 St (D),"412,492",0.03544524
57 St (F),"2,572,222",0.221029803
"57 St-7 Av (N,Q,R,W)","7,786,181",0.669062799
"59 St (N,R)","2,836,109",0.243705486
"59 St-Columbus Circle (A,B,C,D,1)","15,889,241",1.365354858
61 St-Woodside (7),"4,274,262",0.367285284
"63 Dr-Rego Park (M,R)","3,062,071",0.263122292
"65 St (M,R)","732,011",0.062901354
66 St-Lincoln Center (1),"4,769,672",0.409855627
"67 Av (M,R)","1,676,106",0.144026985
68 St-Hunter College (6),"5,170,951",0.444337339
69 St (7),"1,382,986",0.118839324
"7 Av (B,Q)","2,165,793",0.186105554
"7 Av (E,B,D)","3,909,412",0.335933898
"7 Av (F,G)","2,699,374",0.231955913
71 St (D),"1,070,478",0.091985661
"72 St (1,2,3)","9,081,892",0.780402623
"72 St (C,B)","2,320,906",0.199434339
72 St (Q),"6,484,278",0.557190898
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","14,360,730",1.234010641
"75 Av (E,F)","693,856",0.059622713
"75 St-Elderts Ln (J,Z)","404,490",0.034757632
77 St (6),"6,210,854",0.533695705
77 St (R),"1,201,045",0.103205221
79 St (1),"3,511,469",0.301738847
79 St (D),"1,304,897",0.112129173
8 Av (N),"2,564,305",0.220349499
"8 St-NYU (R,W)","3,776,741",0.324533543
80 St (A),"913,679",0.078511998
"81 St-Museum of Natural History (C,B)","3,480,219",0.299053549
82 St-Jackson Hts (7),"2,716,673",0.233442408
85 St-Forest Pkwy (J),"834,920",0.071744275
86 St (1),"3,987,622",0.342654446
"86 St (4,5,6)","10,467,402",0.899458833
"86 St (C,B)","2,482,835",0.213348821
86 St (Q),"5,444,074",0.467806668
86 St (R),"2,670,430",0.229468769
88 St (A),"584,369",0.050214548
9 Av (D),"1,254,568",0.107804426
90 St-Elmhurst Av (7),"4,425,202",0.380255485
"96 St (1,2,3)","7,904,064",0.679192428
96 St (6),"3,779,257",0.324749741
"96 St (C,B)","2,138,206",0.183735016
96 St (Q),"3,889,081",0.334186865
Alabama Av (J),"389,363",0.033457776
"Allerton Av (2,5)","879,106",0.075541157
